log(n_SO2),log(n_BC),log(n_OC)
-7.415695504966258,-3.2270753037586117,-33.267983731052816
-13.638202919407727,-100.12339296165817,-12.469766271082253
-5.71323079379186,-36.05660403004872,-1.972979491488343
-3.6603227264672786,0.7765740455569036,-52.8572888900279
-14.84269561120708,-5.596897312711722,-13.83808571902153
-5.197214814115047,-4.376850097494692,-23.83751059176595
-4.3958016451904225,-27.66768691435479,-6.17317167717457
-13.913946082962244,-102.051814784004,-13.726799778736616
-6.993074992102399,-3.2854638402153737,-32.51674615691794
-15.19270006115041,-16.96367284642941,-12.252272140969618
-6.708186125078926,-4.5224685408476315,-32.89589169857748
-4.9526899384134255,-2.0647131817557893,-21.44952236481924
-5.070220104272229,1.7920223652122993,-45.22949668046278
-5.794951355506547,-2.475657305033665,-4.2570176780346145
-3.675042840944111,-83.84674656484376,-29.141941292896668
-4.221016891726522,-29.32636863351759,-5.110106486063913
-5.0778519403833675,-6.60191781023655,-5.002589334791286
-15.063701387421156,-15.560457327557096,-13.022576800339563
-3.5284031662911737,-86.39155971384467,-28.636427606116584
-4.981744154019775,4.854525945034749,-47.385098128682316
-14.213393539132086,-107.818521954035,-11.242499646887763
-13.9959235281177,-99.08196378779441,-15.624716163882692
-3.6295740116293795,-71.6363059179364,-5.205890418303783
-5.786038118016018,-4.670433869572679,-1.8849360784154516
-3.242834889986163,-62.75921369887559,-5.236825977148625
-4.74142051362961,2.491639897072458,-6.362144111180484
-3.6105219279252685,-82.16394055259491,-29.044760295317825
-4.231581977479131,-62.27751564702072,-6.5330003507824035
-5.083284584152797,-33.73323504712404,-7.179555525190518
-4.73574342330158,-9.799970380567958,-5.457055493893105
-3.550666195050756,-84.080771308594,-25.091920193590298
-5.526357009543209,-41.59000842791228,-4.554106339519378
-5.353087726189809,-34.08019609350857,-9.055591587114971
-7.128912050842507,-2.3660342367288134,-33.87859465599567
-6.971161507317516,-2.993141959336589,-8.508265696133332
-3.2954008995690938,0.16781847504348024,-53.708206107095094
-7.2392597457290275,-9.010291825863733,-30.92543342151874
-14.271976047604493,-96.50450402754586,-13.467020826235592
-3.6968584015874644,-63.56167354983289,-4.757680621030621
-3.3541086821137616,-86.67725263296904,-30.068040596425835
-3.6172944410476284,-86.91600345239522,-25.269614366926092
-4.728409554132541,0.27003027848484235,-24.057080127736967
-15.75995134564922,-12.020849636246975,-12.383134992748545
-4.032190952596776,6.832234118252698,-22.85084190522457
-3.0207153792426,-83.85931373380059,-27.782280806085215
-4.921052355807734,8.32129145631105,-26.272734355257903
-7.037413681863049,-5.225981019213904,-30.56739094145952
-4.474635234165561,-32.52955247799863,-4.877656773880706
-3.3107297530323705,4.903655752793757,-53.80817182883499
-6.679961500233672,-7.718204322074335,-3.3875316537696185
-5.036921967641318,-38.1313709229671,-2.6438197242249775
-7.3184475979981665,-5.342722676416585,-32.14120148969102
-6.977588379005829,-4.774352007806623,-29.99852487665379
-6.356231224693866,-8.008817485471525,-4.646487801486879
-3.3412805078685266,-84.94501937016264,-27.50694604949986
-3.3372875334172005,-87.03163193112496,-24.54943099894011
-5.401098526951432,1.345817306548513,-42.65234906037951
-3.879730669818047,-4.5442760496534484,-51.669550615104015
-7.0338013315392,-2.811338702737758,-32.806492349956635
-3.7081447547304305,-78.43617080328167,-32.001939282970866
-3.2543630913857653,-68.63845853751363,-5.2775043499693055
-6.657317468879114,0.781451601611181,-8.891355414972754
-4.617386119510901,-27.051365943649213,-4.715213206808989
-5.61213532025063,-23.912235722776803,-6.539376980958684
-3.574619002399668,-74.49917537094909,-2.4310832446071067
-14.849014511026398,-13.799338641838474,-14.544332968064282
-15.171857452533985,-10.702083182366547,-13.695698889717562
-5.727181247782004,-38.904907633013046,-4.095063249606805
-15.471806874388712,-13.852953665395857,-15.773026712956897
-3.1766066614673227,-77.3290317642345,-29.774966919937896
-5.11785824866037,-2.227097612490362,-4.585727143405157
-3.9311339688634663,-69.92510537021371,-5.33074241128197
-14.16539307950302,-99.4219516241147,-10.558142548714283
-3.62228673602951,-82.40675185645092,-26.227863214820523
-5.18106854084126,-29.82265770061588,-3.2783282214585983
-2.7239033327129016,1.299214195002842,-50.93626668611121
-15.888839435050302,-14.403720433253879,-16.41816910262792
-15.01787233211398,-12.423058460565077,-14.241058692083223
-4.182322795236648,-81.25651197919984,-1.1023506131443033
-3.175577064249996,-73.72747081095692,-3.7595892714950967
-4.4958642831705715,-24.139095023151402,-7.263196226435827
-6.972254776542697,-6.011339901009639,-30.23255214383831
-4.168586520961606,-68.13962056574181,-5.391899792267562
-4.317218687842334,-2.730080560569848,-24.955429589926215
-5.543593277922776,-12.272167686981193,-44.72297371541346
-3.414562805994567,-81.43060528658246,-27.456073307100908
-3.9802249743359828,-9.031053845238427,-50.944846340804624
-3.8432773027677753,-81.6002298830652,-1.7353668199807535
-4.470396804709063,0.6596791554443944,-45.27803983931706
-4.369221007424381,-26.29425128854872,-3.2463262239316815
-3.0839299673519256,-74.77850009191712,-5.109599223008478
-5.184097662587539,-4.538852729277167,-7.234539073080232
-3.728597628990857,-81.16147387611296,-1.8138002024534243
-5.190776253308168,-1.271635835682146,-47.55806908637574
-5.757503759212851,-37.158637038463674,-6.088653344736865
-4.778337922671262,0.448799597938248,-7.464639138990958
-3.0255365007662367,-84.11676047613744,-31.07087996838559
-7.180205357330336,4.251287836112792,-31.930104771617838
-14.251567589866522,-100.19661710417428,-13.544394581011021
-14.446563751322884,-92.05699482350362,-13.516365478993631
-6.597167586463109,-8.143616411644672,-6.67479890397466
-5.683610780415155,-34.28526001698221,-6.671762753650577
-3.714206192934099,-82.35791444401289,-28.49096396578917
-14.682808630276503,-15.306323248135602,-13.786472441974306
-3.8060049852931632,-62.35376194213333,-4.412047381685657
-3.135920843613359,0.3681655062162169,-50.96631256636985
-5.243107759032278,-0.671467353413564,-6.613875324464727
-6.5114652843018925,-6.872060704447891,-4.689946900594505
-3.7625227040472895,-80.37098670601388,-1.0642080358625572
-3.9969945361386086,2.280873531999863,-50.35514907178248
-14.578079984412767,-14.440439339427767,-13.75186283489306
-3.964376224728472,-67.75566588330042,-4.325881540322943
-7.404617976647672,-5.1894407614908,-34.198423917368544
